accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8898008347677109,0.527329,146,0,0,4,0,0,0,0,0
0.8898008347677109,0.530106,0,1,0,4,0,0,0,0,1
0.8900962110048045,0.33603,0,0,1,10,1,0,1,0,1
0.8900458235336431,0.496615,9,0,1,97,1,1,0,0,0
0.8898008347677109,0.514497,56,0,0,8,0,0,7,0,0
0.8900962110048045,0.315094,0,1,1,0,0,0,14,0,0
0.8900962110048045,0.316187,43,1,1,41,0,0,14,0,0
0.8898008347677109,0.534402,0,1,0,41,0,0,14,0,0
0.8898008347677109,0.513344,77,0,0,6,0,0,3,0,0
0.8900962110048045,0.315056,0,1,1,34,0,0,12,0,0
0.8900962110048045,0.330498,0,1,1,99,0,0,14,0,0
0.8900962110048045,0.313791,1,1,1,41,0,0,12,0,0
0.8898008347677109,0.513313,163,0,0,2,0,0,1,0,0
0.8898008347677109,0.511572,1,0,0,7,1,0,7,0,0
0.8898008347677109,0.509811,1,0,0,2,0,0,3,0,1
0.8898008347677109,0.509567,36,0,0,0,1,1,1,1,0
0.8898008347677109,0.507433,127,0,0,3,0,0,1,0,0
0.8894825766382247,0.541453,27,0,1,41,0,0,9,0,0
0.8900962110048045,0.313594,31,1,1,41,0,0,14,0,1
0.8900962110048045,0.331849,0,0,1,0,0,0,14,0,0
0.8900962110048045,0.318133,0,1,1,51,0,0,14,0,0
0.8900962110048045,0.319199,0,1,1,28,0,0,23,0,0
0.8900962110048045,0.317044,0,1,1,41,0,0,6,0,0
0.8900962110048045,0.317032,0,1,1,28,0,0,14,0,0
0.8898008347677109,0.527862,189,0,0,3,0,0,0,0,0
0.8898008347677109,0.510947,5,0,0,57,0,0,21,1,0
0.8898008347677109,0.515228,0,0,0,0,0,0,3,1,1
0.8897997032728259,0.536728,87,0,1,28,0,0,1,1,0
0.8898008347677109,0.512503,89,0,0,5,0,0,2,0,0
0.8900962110048045,0.331604,11,1,1,41,0,0,14,0,0
0.8900962110048045,0.33403,0,0,1,62,0,0,14,0,1
0.8898008347677109,0.533018,0,1,0,28,0,0,14,0,1
0.8898008347677109,0.508497,93,0,0,2,0,0,1,0,0
0.8900962110048045,0.315348,0,1,1,36,0,0,14,0,0
0.8900962110048045,0.31325,0,1,1,57,0,0,14,0,0
0.8900962110048045,0.330319,0,1,1,14,0,0,18,0,0
0.8898008347677109,0.510539,99,0,0,3,0,0,1,0,0
0.8900962110048045,0.317405,0,1,1,0,0,0,14,1,0
0.8900962110048045,0.317829,0,1,1,22,0,0,14,0,0
0.8898008347677109,0.537185,0,1,0,41,0,0,14,0,0
0.8900962110048045,0.329775,140,1,0,5,0,0,1,0,0
0.8900962110048045,0.329841,106,1,0,4,0,0,1,0,0
0.8898008347677109,0.515573,102,0,0,4,0,0,1,0,0
0.8898008347677109,0.511,117,0,0,5,0,0,1,0,0
0.8898008347677109,0.509701,147,0,0,100,0,0,0,0,0
0.8898008347677109,0.507493,0,0,0,3,0,0,0,0,0
0.8902044755764664,0.490268,18,1,0,0,0,0,2,0,1
0.8900962110048045,0.318139,0,1,1,4,0,0,4,1,0
0.8900962110048045,0.313344,0,1,1,22,0,0,14,0,0
0.8900962110048045,0.318469,0,1,1,41,0,0,8,0,0
0.8900962110048045,0.362208,0,1,1,40,0,0,10,0,0
0.8900962110048045,0.325441,0,1,1,41,0,0,10,0,0
0.8898008347677109,0.508901,123,0,0,5,0,0,0,0,0
0.8898008347677109,0.51165,130,0,0,3,0,0,1,0,0
